scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso,power,500,0.6,,,0.157,0.01100000000000001,,78.5,500.0,757.0076019763947,,,,2,sparse,0.6,0.6000000000000001
aggregate,,sparse_lasso,power,500,0.75,,,0.265,0.0030000000000000027,,132.5,500.0,755.716875076294,,,,2,sparse,0.75,0.75
aggregate,,sparse_lasso,power,500,1.0,,,0.538,0.03199999999999997,,269.0,500.0,751.3452684879303,,,,2,sparse,1.0,1.0
aggregate,,lowrank_rrr,type1_error,50,,,,0.07,0.010000000000000002,0.019999999999999997,3.5,50.0,16.46710765361786,0.02551470164434615,0.019991184777081554,0.12000881522291845,2,,,
aggregate,,lowrank_rrr,type1_error,100,,,,0.07,0.010000000000000002,0.019999999999999997,7.0,100.0,31.032151579856873,0.01804161855266872,0.03463842763676932,0.1053615723632307,2,,,
aggregate,,lowrank_rrr,type1_error,300,,,,0.08499999999999999,0.0049999999999999975,0.034999999999999996,25.5,300.0,97.88255643844604,0.0113852975367357,0.06268481682799802,0.10731518317200196,2,,,
aggregate,,lowrank_rrr,type1_error,500,,,,0.07500000000000001,0.009000000000000001,0.025,37.5,500.0,165.87632548809052,0.008329165624478841,0.058674835376021486,0.09132516462397854,2,,,
aggregate,,lowrank_rrr,type1_error,1000,,,,0.057999999999999996,0.0019999999999999983,0.007999999999999997,58.0,1000.0,295.3817460536957,0.0052266624149642565,0.04775574166667006,0.06824425833332994,2,,,
aggregate,,lowrank_rrr,type1_error,2000,,,,0.06225,0.0017500000000000016,0.012249999999999997,124.5,2000.0,617.9262665510178,0.003820174652421012,0.05476245768125482,0.06973754231874518,2,,,
aggregate,,lowrank_rrr,power,500,0.1,,,0.066,0.005999999999999998,,33.0,500.0,166.13672578334808,,,,2,lowrank,0.1,0.1
aggregate,,lowrank_rrr,power,500,0.2,,,0.10400000000000001,0.012000000000000004,,52.0,500.0,166.31257009506226,,,,2,lowrank,0.2,0.2
aggregate,,lowrank_rrr,power,500,0.3,,,0.124,0.0040000000000000036,,62.0,500.0,171.91840195655823,,,,2,lowrank,0.3,0.3
aggregate,,lowrank_rrr,power,500,0.4,,,0.224,0.0020000000000000018,,112.0,500.0,165.9241213798523,,,,2,lowrank,0.4,0.4
aggregate,,lowrank_rrr,power,500,0.5,,,0.315,0.01100000000000001,,157.5,500.0,165.91494762897491,,,,2,lowrank,0.5,0.5
aggregate,,lowrank_rrr,power,500,0.6,,,0.477,0.010999999999999982,,238.5,500.0,165.98389518260956,,,,2,lowrank,0.6,0.6
aggregate,,lowrank_rrr,power,500,0.75,,,0.75,0.0040000000000000036,,375.0,500.0,165.84215891361237,,,,2,lowrank,0.75,0.75
aggregate,,lowrank_rrr,power,500,1.0,,,0.974,0.014000000000000012,,487.0,500.0,171.90854740142822,,,,2,lowrank,1.0,1.0
aggregate,,baseline_ols_f,type1_error,50,,,,0.06,0.0,0.009999999999999995,3.0,50.0,1.7233126163482666,0.023748684174075833,0.013452579018811368,0.10654742098118863,2,,,
aggregate,,baseline_ols_f,type1_error,100,,,,0.02,0.01,-0.030000000000000002,2.0,100.0,1.5994764566421509,0.009899494936611665,0.0005969899242411376,0.03940301007575886,2,,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.05666666666666667,0.013333333333333336,0.006666666666666668,17.0,300.0,1.6386358737945557,0.009438887253940084,0.038166447648944106,0.07516688568438923,2,,,
aggregate,,baseline_ols_f,type1_error,500,,,,0.040999999999999995,0.002999999999999999,-0.009000000000000005,20.5,500.0,1.6999163627624512,0.006270486424512854,0.028709846607954802,0.05329015339204519,2,,,
aggregate,,baseline_ols_f,type1_error,1000,,,,0.049,0.0010000000000000009,-0.0010000000000000009,49.0,1000.0,1.8340766429901123,0.0048269555622566076,0.03953916709797705,0.058460832902022954,2,,,
aggregate,,baseline_ols_f,type1_error,2000,,,,0.041249999999999995,0.001749999999999998,-0.008750000000000004,82.5,2000.0,2.159789562225342,0.003144377422479687,0.035087020251939806,0.047412979748060184,2,,,
aggregate,,baseline_ols_f,power,500,0.1,,,0.068,0.0020000000000000018,,34.0,500.0,1.6841131448745728,,,,2,uniform,0.1,0.09999999999999995
aggregate,,baseline_ols_f,power,500,0.2,,,0.2,0.052000000000000005,,100.0,500.0,1.7425934076309204,,,,2,uniform,0.2,0.19999999999999998
aggregate,,baseline_ols_f,power,500,0.3,,,0.389,0.033,,194.5,500.0,1.6824594736099243,,,,2,uniform,0.3,0.27149999999999996
aggregate,,baseline_ols_f,power,500,0.4,,,0.635,0.09299999999999997,,317.5,500.0,1.68549644947052,,,,2,uniform,0.4,0.33122000000000007
aggregate,,baseline_ols_f,power,500,0.5,,,0.774,0.15800000000000003,,387.0,500.0,1.6862274408340454,,,,2,uniform,0.5,0.38286024999999996
