scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,2026,baseline_ols,type1_error,100,,,,0.03,-0.020000000000000004,3,100,13.51193380355835,
seed,2026,baseline_ols,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,40.330127000808716,
seed,2026,baseline_ols,type1_error,500,,,,0.048,-0.0020000000000000018,24,500,67.31110191345215,
seed,2026,baseline_ols,type1_error,1000,,,,0.05,0.0,50,1000,121.3395037651062,
seed,2026,baseline_ols,type1_error,2000,,,,0.0465,-0.003500000000000003,93,2000,239.876229763031,
seed,2026,baseline_ols,power,500,0.1,0.1,0.09999999999999994,0.066,,33,500,67.16689896583557,uniform
seed,2026,baseline_ols,power,500,0.2,0.2,0.19999999999999998,0.216,,108,500,67.51198983192444,uniform
seed,2026,baseline_ols,power,500,0.3,0.3,0.24300000000000002,0.364,,182,500,67.55747580528259,uniform
seed,2026,baseline_ols,power,500,0.4,0.4,0.26244000000000006,0.466,,233,500,67.59762406349182,uniform
seed,2026,baseline_ols,power,500,0.5,0.5,0.2657205,0.492,,246,500,67.16471910476685,uniform
seed,2026,baseline_ols,power,500,0.6,0.6,0.2582803259999999,0.436,,218,500,66.8758339881897,uniform
seed,2026,baseline_ols,power,500,0.75,0.75,0.26150883007500003,0.466,,233,500,67.5996720790863,uniform
seed,2026,baseline_ols,power,500,1.0,1.0,0.2541865828329002,0.462,,231,500,67.36056804656982,uniform
