scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,sparse_lasso_n10,type1_error,2000,,,,0.051,0.000999999999999994,102,2000,1137.4314548969269
seed,42,sparse_lasso_n10,power,500,0.05,0.05,0.05000000000000002,0.05,,25,500,316.3546042442322
seed,42,sparse_lasso_n10,power,500,0.1,0.1,0.10000000000000003,0.056,,28,500,316.11197805404663
seed,42,sparse_lasso_n10,power,500,0.15,0.15,0.15000000000000002,0.112,,56,500,316.93896293640137
seed,42,sparse_lasso_n10,power,500,0.2,0.2,0.20000000000000007,0.142,,71,500,316.15808176994324
seed,42,sparse_lasso_n10,power,500,0.3,0.3,0.3,0.332,,166,500,315.72210597991943
seed,42,sparse_lasso_n10,power,500,0.5,0.5,0.49999999999999994,0.964,,482,500,321.69920110702515
seed,42,sparse_lasso_n20,type1_error,50,,,,0.06,0.009999999999999995,3,50,62.59326171875
seed,42,sparse_lasso_n20,type1_error,100,,,,0.05,0.0,5,100,122.5046660900116
seed,42,sparse_lasso_n20,type1_error,300,,,,0.08333333333333333,0.033333333333333326,25,300,396.87266993522644
seed,42,sparse_lasso_n20,type1_error,500,,,,0.056,0.005999999999999998,28,500,663.7330098152161
seed,42,sparse_lasso_n20,type1_error,1000,,,,0.056,0.005999999999999998,56,1000,1231.1098692417145
seed,42,sparse_lasso_n20,type1_error,2000,,,,0.0645,0.014499999999999999,129,2000,2483.7792632579803
seed,42,sparse_lasso_n20,power,500,0.05,0.05,0.05,0.056,,28,500,707.2643399238586
seed,42,sparse_lasso_n20,power,500,0.1,0.1,0.1,0.07,,35,500,684.5996241569519
seed,42,sparse_lasso_n20,power,500,0.15,0.15,0.15000000000000002,0.094,,47,500,675.2047307491302
seed,42,sparse_lasso_n20,power,500,0.2,0.2,0.2,0.108,,54,500,679.0119462013245
seed,42,sparse_lasso_n20,power,500,0.3,0.3,0.3,0.212,,106,500,672.8758499622345
seed,42,sparse_lasso_n20,power,500,0.5,0.5,0.5000000000000001,0.794,,397,500,671.8468060493469
seed,42,lowrank_svd_n5,type1_error,50,,,,0.06,0.009999999999999995,3,50,7.7080230712890625
seed,42,lowrank_svd_n5,type1_error,100,,,,0.03,-0.020000000000000004,3,100,13.927317142486572
seed,42,lowrank_svd_n5,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,44.6163489818573
seed,42,lowrank_svd_n5,type1_error,500,,,,0.07,0.020000000000000004,35,500,75.79253315925598
seed,42,lowrank_svd_n5,type1_error,1000,,,,0.047,-0.0030000000000000027,47,1000,138.04750514030457
seed,42,lowrank_svd_n5,type1_error,2000,,,,0.0535,0.003499999999999996,107,2000,274.09022092819214
seed,42,lowrank_svd_n5,power,500,0.05,0.05,0.05000000000000002,0.086,,43,500,75.84256601333618
seed,42,lowrank_svd_n5,power,500,0.1,0.1,0.10000000000000003,0.076,,38,500,76.55775213241577
seed,42,lowrank_svd_n5,power,500,0.15,0.15,0.15,0.168,,84,500,76.37207889556885
seed,42,lowrank_svd_n5,power,500,0.2,0.2,0.20000000000000004,0.308,,154,500,76.26887083053589
seed,42,lowrank_svd_n5,power,500,0.3,0.3,0.3,0.69,,345,500,76.06361293792725
seed,42,lowrank_svd_n5,power,500,0.5,0.5,0.5,1.0,,500,500,76.42260909080505
seed,42,lowrank_svd_n10,type1_error,50,,,,0.06,0.009999999999999995,3,50,8.330350637435913
seed,42,lowrank_svd_n10,type1_error,100,,,,0.03,-0.020000000000000004,3,100,15.754642963409424
seed,42,lowrank_svd_n10,type1_error,300,,,,0.06,0.009999999999999995,18,300,50.36587381362915
seed,42,lowrank_svd_n10,type1_error,500,,,,0.062,0.011999999999999997,31,500,85.75735783576965
seed,42,lowrank_svd_n10,type1_error,1000,,,,0.053,0.0029999999999999957,53,1000,157.25450992584229
seed,42,lowrank_svd_n10,type1_error,2000,,,,0.0495,-0.0005000000000000004,99,2000,312.4299340248108
seed,42,lowrank_svd_n10,power,500,0.05,0.05,0.050000000000000024,0.046,,23,500,86.03529381752014
