scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_n10,type1_error,300,,,,0.06,0.013333333333333332,0.009999999999999998,18.0,300.0,36,600,0.009695359714832657,0.04099709495892799,0.079002905041072,48.515796422958374,2,,
aggregate,,baseline_ols_n10,type1_error,500,,,,0.059,0.002999999999999999,0.008999999999999998,29.5,500.0,59,1000,0.007451107300260815,0.0443958296914888,0.0736041703085112,81.85882592201233,2,,
aggregate,,baseline_ols_n10,type1_error,1000,,,,0.048,0.004,-0.0020000000000000052,48.0,1000.0,96,2000,0.0047799581588126895,0.03863128200872713,0.05736871799127287,147.03000938892365,2,,
aggregate,,baseline_ols_n10,type1_error,2000,,,,0.05375,0.0027500000000000024,0.0037499999999999964,107.5,2000.0,215,4000,0.00356584272998684,0.04676094824922579,0.06073905175077421,289.4048618078232,2,,
aggregate,,baseline_ols_n10,power,500,0.05,0.05,,0.066,0.007999999999999997,,33.0,500.0,,,,,,80.3029316663742,2,0.05,0.05000000000000004
aggregate,,baseline_ols_n10,power,500,0.1,0.1,,0.072,0.013999999999999995,,36.0,500.0,,,,,,80.76233661174774,2,0.1,0.10000000000000006
aggregate,,baseline_ols_n10,power,500,0.15,0.15,,0.123,0.024999999999999994,,61.5,500.0,,,,,,82.34556305408478,2,0.15,0.15000000000000005
aggregate,,baseline_ols_n10,power,500,0.2,0.2,,0.22799999999999998,0.024000000000000007,,114.0,500.0,,,,,,81.71717011928558,2,0.2,0.2000000000000001
aggregate,,baseline_ols_n10,power,500,0.3,0.3,,0.608,0.09599999999999997,,304.0,500.0,,,,,,82.05406248569489,2,0.3,0.3
aggregate,,baseline_ols_n10,power,500,0.5,0.5,,0.997,0.0030000000000000027,,498.5,500.0,,,,,,80.99310743808746,2,0.5,0.49999999999999994
aggregate,,baseline_ols_n20,type1_error,50,,,,0.05,0.009999999999999998,-3.469446951953614e-18,2.5,50.0,5,100,0.021794494717703367,0.007282790353301406,0.0927172096466986,10.14732050895691,2,,
aggregate,,baseline_ols_n20,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,10,200,0.015411035007422441,0.01979437138545202,0.08020562861454798,18.958483457565308,2,,
aggregate,,baseline_ols_n20,type1_error,300,,,,0.05333333333333334,0.010000000000000002,0.003333333333333334,16.0,300.0,32,600,0.009173229973577907,0.035353802585120636,0.07131286408154604,60.88597393035889,2,,
aggregate,,baseline_ols_n20,type1_error,500,,,,0.040999999999999995,0.002999999999999999,-0.009000000000000005,20.5,500.0,41,1000,0.006270486424512854,0.02870984660795481,0.053290153392045195,103.55245268344879,2,,
aggregate,,baseline_ols_n20,type1_error,1000,,,,0.045,0.004,-0.005000000000000001,45.0,1000.0,90,2000,0.004635461142108733,0.035914496161466886,0.05408550383853311,188.65218102931976,2,,
aggregate,,baseline_ols_n20,type1_error,2000,,,,0.046,0.0025000000000000022,-0.0040000000000000036,92.0,2000.0,184,4000,0.0033122499905653257,0.039507990018491965,0.052492009981508034,377.6199914216995,2,,
aggregate,,baseline_ols_n20,power,500,0.05,0.05,,0.038000000000000006,0.004,,19.0,500.0,,,,,,103.9081004858017,2,0.05,0.050000000000000044
aggregate,,baseline_ols_n20,power,500,0.1,0.1,,0.065,0.020999999999999998,,32.5,500.0,,,,,,112.66078996658325,2,0.1,0.10000000000000009
aggregate,,baseline_ols_n20,power,500,0.15,0.15,,0.136,0.060000000000000005,,68.0,500.0,,,,,,1105.3787130117416,2,0.15,0.15000000000000008
aggregate,,baseline_ols_n20,power,500,0.2,0.2,,0.305,0.191,,152.5,500.0,,,,,,109.47936141490936,2,0.2,0.20000000000000012
aggregate,,baseline_ols_n20,power,500,0.3,0.3,,0.567,0.419,,283.5,500.0,,,,,,106.32517075538635,2,0.3,0.3000000000000001
