seed,scenario,model,M,change_scale,delta_mean_abs,delta_max_abs,delta_fro,power,M_effective
42,baseline,baseline_chow_asym_chi2,10,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,10
42,baseline,baseline_chow_asym_f,10,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,10
42,baseline,baseline_chow_asym_chi2,10,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.12,0.10208089388232526,0.11738948771869903,0.3570479573217798,1.0,10
42,baseline,baseline_chow_asym_f,10,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,10
42,baseline,baseline_chow_asym_chi2,10,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.16,0.10059922242110148,0.14208551171767442,0.3732841023060425,1.0,10
42,baseline,baseline_chow_asym_f,10,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,10
42,baseline,baseline_chow_asym_chi2,10,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.2,0.09683931509004627,0.15654889115684445,0.3828626444858002,1.0,10
42,sparse,sparse_lasso,10,0.04,0.04,0.04000000000000001,0.20784609690826525,0.9,10
42,sparse,sparse_lasso,10,0.08,0.08,0.08,0.41569219381653044,1.0,10
42,sparse,sparse_lasso,10,0.12,0.12000000000000001,0.12,0.6235382907247959,0.0,10
42,sparse,sparse_lasso,10,0.16,0.12124559128991254,0.17956105619058846,0.6334472295947006,1.0,10
42,sparse,sparse_lasso,10,0.2,0.1250575412883103,0.2131784491535346,0.657402745719867,1.0,10
42,lowrank,lowrank_svd,10,0.04,0.04,0.04000000000000001,0.27712812921102037,1.0,10
42,lowrank,lowrank_svd,10,0.08,0.08,0.08000000000000002,0.5542562584220407,1.0,10
42,lowrank,lowrank_svd,10,0.12,0.0779597397856223,0.10207672192716641,0.5454715993064869,1.0,10
42,lowrank,lowrank_svd,10,0.16,0.07535596998474119,0.11194190876313084,0.5347305972077012,1.0,10
42,lowrank,lowrank_svd,10,0.2,0.07610849214577424,0.11906740208198484,0.5444911270935578,1.0,10
2026,baseline,baseline_chow_asym_f,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
2026,baseline,baseline_chow_asym_f,10,0.08,0.08,0.08000000000000002,0.2771281292110204,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.08,0.08,0.08000000000000002,0.2771281292110204,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.08,0.08,0.08000000000000002,0.2771281292110204,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.08,0.08,0.08000000000000002,0.2771281292110204,0.0,10
2026,baseline,baseline_chow_asym_f,10,0.12,0.12000000000000004,0.12,0.41569219381653055,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.12,0.12000000000000004,0.12,0.41569219381653055,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.12,0.12000000000000004,0.12,0.41569219381653055,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.12,0.12000000000000004,0.12,0.41569219381653055,0.0,10
2026,baseline,baseline_chow_asym_f,10,0.16,0.16,0.16000000000000003,0.5542562584220408,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.16,0.16,0.16000000000000003,0.5542562584220408,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.16,0.16,0.16000000000000003,0.5542562584220408,1.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.16,0.16,0.16000000000000003,0.5542562584220408,0.0,10
2026,baseline,baseline_chow_asym_f,10,0.2,0.1843187294530494,0.2119231705046304,0.6409823979669083,1.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.2,0.1843187294530494,0.2119231705046304,0.6409823979669083,1.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.2,0.1843187294530494,0.2119231705046304,0.6409823979669083,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.2,0.1843187294530494,0.2119231705046304,0.6409823979669083,0.0,10
2026,sparse,sparse_lasso,10,0.04,0.04,0.04,0.20784609690826522,0.9,10
2026,sparse,sparse_lasso,10,0.08,0.08,0.08,0.41569219381653044,1.0,10
2026,sparse,sparse_lasso,10,0.12,0.10767978721598175,0.11146949353870461,0.5596600177232184,1.0,10
2026,sparse,sparse_lasso,10,0.16,0.10387478823576127,0.1169075882796052,0.5414561563094342,0.0,10
2026,sparse,sparse_lasso,10,0.2,0.10478781418133193,0.122544824230019,0.5476304553092203,0.0,10
2026,lowrank,lowrank_svd,10,0.04,0.04,0.04000000000000001,0.27712812921102037,1.0,10
2026,lowrank,lowrank_svd,10,0.08,0.08,0.08,0.5542562584220407,1.0,10
2026,lowrank,lowrank_svd,10,0.12,0.07865450980144612,0.09732694994405966,0.5483686997103455,1.0,10
2026,lowrank,lowrank_svd,10,0.16,0.07640994983656535,0.10473641074661459,0.5374829612995459,0.0,10
2026,lowrank,lowrank_svd,10,0.2,0.07734606666322354,0.1106067652725256,0.5468722639544322,1.0,10
