scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f_n20,type1_error,100,,,,0.06,0.0,0.009999999999999995,6.0,100.0,0.05315995216369629,1,,
aggregate,,baseline_ols_f_n20,type1_error,300,,,,0.07666666666666666,0.0,0.026666666666666658,23.0,300.0,0.15914297103881836,1,,
aggregate,,baseline_ols_f_n20,type1_error,500,,,,0.054,0.0,0.003999999999999997,27.0,500.0,0.2495570182800293,1,,
aggregate,,baseline_ols_f_n20,type1_error,1000,,,,0.064,0.0,0.013999999999999999,64.0,1000.0,0.49128198623657227,1,,
aggregate,,baseline_ols_f_n20,type1_error,2000,,,,0.049,0.0,-0.0010000000000000009,98.0,2000.0,0.966256856918335,1,,
aggregate,,baseline_ols_f_n20,power,500,0.05,0.05,,0.038,0.0,,19.0,500.0,0.25669288635253906,1,0.05,0.050000000000000044
aggregate,,baseline_ols_f_n20,power,500,0.1,0.1,,0.054,0.0,,27.0,500.0,0.27717113494873047,1,0.1,0.10000000000000009
aggregate,,baseline_ols_f_n20,power,500,0.15,0.15,,0.082,0.0,,41.0,500.0,0.25180602073669434,1,0.15,0.1500000000000001
aggregate,,baseline_ols_f_n20,power,500,0.2,0.2,,0.102,0.0,,51.0,500.0,0.24584674835205078,1,0.2,0.20000000000000012
aggregate,,baseline_ols_f_n20,power,500,0.3,0.3,,0.282,0.0,,141.0,500.0,0.24685907363891602,1,0.3,0.3000000000000001
aggregate,,baseline_ols_f_n20,power,500,0.5,0.5,,0.862,0.0,,431.0,500.0,0.26746296882629395,1,0.5,0.5000000000000001
aggregate,,sparse_lasso_n5,type1_error,50,,,,0.1,0.0,0.05,5.0,50.0,8.442001104354858,1,,
aggregate,,sparse_lasso_n5,type1_error,100,,,,0.1,0.0,0.05,10.0,100.0,14.604739904403687,1,,
aggregate,,sparse_lasso_n5,type1_error,300,,,,0.043333333333333335,0.0,-0.006666666666666668,13.0,300.0,46.08980083465576,1,,
aggregate,,sparse_lasso_n5,type1_error,500,,,,0.064,0.0,0.013999999999999999,32.0,500.0,78.75372385978699,1,,
aggregate,,sparse_lasso_n5,type1_error,1000,,,,0.05,0.0,0.0,50.0,1000.0,133.89732909202576,1,,
aggregate,,sparse_lasso_n5,type1_error,2000,,,,0.0575,0.0,0.0075,115.0,2000.0,264.77628993988037,1,,
aggregate,,sparse_lasso_n5,power,500,0.05,0.05,,0.064,0.0,,32.0,500.0,73.97113180160522,1,0.05,0.05000000000000002
aggregate,,sparse_lasso_n5,power,500,0.1,0.1,,0.082,0.0,,41.0,500.0,74.2363829612732,1,0.1,0.10000000000000003
aggregate,,sparse_lasso_n5,power,500,0.15,0.15,,0.166,0.0,,83.0,500.0,74.15506315231323,1,0.15,0.15000000000000002
aggregate,,sparse_lasso_n5,power,500,0.2,0.2,,0.35,0.0,,175.0,500.0,74.0191171169281,1,0.2,0.20000000000000007
aggregate,,sparse_lasso_n5,power,500,0.3,0.3,,0.786,0.0,,393.0,500.0,74.09149312973022,1,0.3,0.3
aggregate,,sparse_lasso_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,74.86815595626831,1,0.5,0.5
aggregate,,sparse_lasso_n10,type1_error,50,,,,0.08,0.0,0.03,4.0,50.0,12.585322856903076,1,,
aggregate,,sparse_lasso_n10,type1_error,100,,,,0.07,0.0,0.020000000000000004,7.0,100.0,23.597399950027466,1,,
