Date,SPY,EFA,EEM,AGG,TLT,TIP,GLD,VNQ,USO
2018-01-10,244.032,63.8329,41.8297,100.273,102.181,103.989,125.03,66.9182,101.44
2018-01-11,245.803,64.2741,42.0861,100.323,102.601,103.88,125.44,66.6892,101.6
2018-01-12,247.392,64.9188,42.4881,100.303,102.761,103.979,126.96,66.1524,102.96
2018-01-16,246.559,64.8572,42.3252,100.333,103.182,104.167,127.17,66.2783,102.08
2018-01-17,248.893,65.1937,42.8846,100.214,103.052,104.088,126.14,66.7422,102.24
2018-01-18,248.484,65.1135,42.9342,99.9847,102.106,103.989,125.86,65.8822,102.08
2018-01-19,249.633,65.4755,43.2876,99.7951,101.572,103.81,126.42,66.237,101.76
2018-01-22,251.641,65.812,43.5367,99.7557,101.668,103.751,126.65,66.8406,102.24
2018-01-23,252.179,66.0224,43.7419,99.9747,102.106,103.919,127.28,67.7666,103.76
2018-01-24,252.081,66.1378,44.11,99.8849,101.554,103.84,128.83,67.4137,105.76
2018-01-25,252.189,65.8825,44.0854,100.144,102.391,104.038,127.97,67.2948,104.48
2018-01-26,255.097,66.4646,44.6934,99.9448,101.999,103.969,128.07,67.0618,105.92
2018-01-29,253.403,65.8561,44.0156,99.7951,101.287,103.721,127.35,66.1613,104.88
2018-01-30,250.791,65.3092,43.415,99.6262,100.681,103.484,126.8,65.6816,103.2
2018-01-31,250.922,65.2192,43.7923,99.7159,101.287,103.731,127.65,66.8593,103.84
2018-02-01,250.646,65.407,43.2006,99.4071,99.796,103.206,128.07,65.4192,105.92
2018-02-02,245.191,64.0804,42.0953,99.1084,98.8885,103.087,126.39,64.8637,104.32
2018-02-05,234.94,61.3969,40.618,99.4968,99.806,103.464,126.71,62.936,102.16
2018-02-06,239.573,62.6051,41.9396,99.2279,99.172,103.048,125.38,62.9439,101.6
2018-02-07,238.271,61.9428,40.618,98.985,98.2596,102.83,124.79,62.6775,98.96
2018-02-08,229.331,60.3266,39.2105,98.8017,98.1541,102.632,124.98,60.8766,96.72
2018-02-09,232.767,60.5839,39.8359,98.6862,97.5192,102.325,124.77,62.3993,94.88
2018-02-12,236.185,61.5103,40.4632,98.7161,97.9789,102.394,125.37,62.4248,95.12
2018-02-13,236.778,61.3254,40.7719,98.736,98.3971,102.464,126.08,62.8643,94.96
2018-02-14,239.982,62.4114,41.7941,98.4015,97.2995,102.384,128.23,62.4091,97.44
2018-02-15,243.047,62.7998,42.6512,98.5299,97.638,102.424,128.38,63.0136,98.64
2018-02-16,243.123,63.0835,42.5138,98.7261,98.1795,102.592,127.96,63.3587,99.04
2018-02-20,241.582,62.4906,41.9304,98.6185,97.7228,102.513,126.24,62.6077,99.12
2018-02-21,240.396,62.1893,41.8965,98.2939,96.5501,102.216,125.66,61.372,98.32
2018-02-22,240.693,62.517,41.9222,98.3029,96.8052,102.315,126.3,62.07,100.72
2018-02-23,244.532,63.0121,42.6686,98.5688,97.6811,102.681,126.14,63.0618,102.16
