scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso,type1_error,1000,,,,0.056,0.0,0.005999999999999998,56.0,1000.0,1831.8129620552063,1,,
aggregate,,sparse_lasso,type1_error,2000,,,,0.0495,0.0,-0.0005000000000000004,99.0,2000.0,3656.473436832428,1,,
aggregate,,sparse_lasso,power,300,0.05,0.05,,0.04,0.0,,12.0,300.0,575.2828171253204,1,0.05,0.05000000000000001
aggregate,,sparse_lasso,power,300,0.1,0.1,,0.08666666666666667,0.0,,26.0,300.0,574.6015529632568,1,0.1,0.1
aggregate,,sparse_lasso,power,300,0.15,0.15,,0.08666666666666667,0.0,,26.0,300.0,571.1786262989044,1,0.15,0.15000000000000005
aggregate,,sparse_lasso,power,300,0.2,0.2,,0.15666666666666668,0.0,,47.0,300.0,569.8811926841736,1,0.2,0.2
aggregate,,sparse_lasso,power,300,0.3,0.3,,0.3433333333333333,0.0,,103.0,300.0,566.5685360431671,1,0.3,0.30000000000000004
aggregate,,sparse_lasso,power,300,0.5,0.5,,0.94,0.0,,282.0,300.0,566.0505001544952,1,0.5,0.5000000000000001
aggregate,,lowrank_svd,type1_error,50,,,,0.08,0.0,0.03,4.0,50.0,35.8830144405365,1,,
aggregate,,lowrank_svd,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,70.9942238330841,1,,
aggregate,,lowrank_svd,type1_error,300,,,,0.056666666666666664,0.0,0.006666666666666661,17.0,300.0,212.7615511417389,1,,
aggregate,,lowrank_svd,type1_error,500,,,,0.046,0.0,-0.0040000000000000036,23.0,500.0,346.51487851142883,1,,
aggregate,,lowrank_svd,type1_error,1000,,,,0.059,0.0,0.008999999999999994,59.0,1000.0,693.3082764148712,1,,
aggregate,,lowrank_svd,type1_error,2000,,,,0.0585,0.0,0.0085,117.0,2000.0,1395.0818104743958,1,,
aggregate,,lowrank_svd,power,300,0.05,0.05,,0.056666666666666664,0.0,,17.0,300.0,215.49052047729492,1,0.05,0.05000000000000002
aggregate,,lowrank_svd,power,300,0.1,0.1,,0.056666666666666664,0.0,,17.0,300.0,218.78690361976624,1,0.1,0.1
aggregate,,lowrank_svd,power,300,0.15,0.15,,0.043333333333333335,0.0,,13.0,300.0,219.6746325492859,1,0.15,0.15
aggregate,,lowrank_svd,power,300,0.2,0.2,,0.08333333333333333,0.0,,25.0,300.0,214.19053268432617,1,0.2,0.2
aggregate,,lowrank_svd,power,300,0.3,0.3,,0.14333333333333334,0.0,,43.0,300.0,214.51985335350037,1,0.3,0.3
aggregate,,lowrank_svd,power,300,0.5,0.5,,0.6233333333333333,0.0,,187.0,300.0,214.5856955051422,1,0.5,0.5
